mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
11.9,0.893,0.595,0.156,0.255,0.131,1.137,0.084,0.0
13.767,0.903,0.924,0.14,0.244,0.13,1.439,0.086,0.0
13.0,0.884,1.072,0.112,0.25,0.13,1.564,0.084,0.0
12.7,0.885,1.284,0.118,0.244,0.124,1.77,0.086,0.0
12.767,0.908,0.358,0.099,0.237,0.097,0.792,0.084,0.0
13.333,0.923,1.574,0.142,0.198,0.12,2.034,0.085,0.0
13.033,0.884,1.067,0.115,0.265,0.137,1.583,0.083,0.0
12.267,0.906,0.608,0.106,0.247,0.11,1.07,0.086,0.0
12.567,0.891,0.21,0.126,0.259,0.158,0.752,0.085,0.0
13.533,0.857,0.607,0.14,0.291,0.117,1.156,0.089,0.0
12.667,0.877,0.948,0.173,0.268,0.157,1.546,0.084,0.0
13.9,0.905,0.25,0.127,0.221,0.104,0.701,0.084,0.0
12.433,0.873,1.414,0.157,0.263,0.144,1.978,0.093,0.0
13.267,0.885,1.406,0.166,0.265,0.11,1.948,0.088,0.0
11.433,0.906,0.358,0.107,0.223,0.138,0.825,0.082,0.0
13.433,0.889,1.243,0.094,0.254,0.122,1.713,0.083,0.0
12.467,0.894,0.551,0.116,0.238,0.119,1.024,0.083,0.0
13.6,0.902,0.751,0.157,0.249,0.113,1.271,0.086,0.0
12.633,0.893,0.965,0.122,0.255,0.142,1.483,0.085,0.0
12.5,0.891,0.685,0.112,0.257,0.143,1.197,0.084,0.0
13.267,0.889,1.21,0.156,0.259,0.123,1.747,0.084,0.0
12.767,0.882,1.472,0.147,0.247,0.141,2.007,0.086,0.0
12.167,0.886,0.318,0.115,0.252,0.138,0.823,0.086,0.0
11.867,0.87,1.181,0.153,0.282,0.157,1.773,0.085,0.0
13.867,0.883,0.909,0.134,0.261,0.134,1.437,0.084,0.0
12.533,0.903,1.414,0.129,0.222,0.086,1.851,0.084,0.0
12.8,0.898,0.874,0.106,0.22,0.099,1.299,0.084,0.0
13.0,0.893,1.056,0.146,0.254,0.148,1.604,0.084,0.0
14.033,0.894,0.984,0.133,0.24,0.119,1.475,0.086,0.0
12.867,0.889,1.028,0.123,0.247,0.123,1.52,0.085,0.0
12.833,0.889,1.258,0.17,0.265,0.138,1.831,0.086,0.0
11.7,0.898,1.198,0.098,0.247,0.148,1.69,0.081,0.0
11.667,0.886,1.137,0.111,0.241,0.127,1.617,0.084,0.0
14.0,0.897,1.545,0.11,0.232,0.122,2.009,0.084,0.0
13.733,0.906,0.784,0.132,0.224,0.117,1.257,0.085,0.0
13.533,0.888,0.949,0.143,0.255,0.129,1.475,0.087,0.0
12.233,0.9,1.428,0.105,0.241,0.129,1.903,0.083,0.0
12.6,0.897,0.971,0.134,0.232,0.124,1.461,0.085,0.0
13.167,0.911,1.05,0.134,0.195,0.106,1.485,0.087,0.0
13.833,0.892,0.607,0.128,0.236,0.116,1.088,0.084,0.0
14.267,0.884,0.607,0.107,0.253,0.117,1.084,0.083,0.0
13.433,0.889,0.233,0.095,0.254,0.109,0.691,0.084,0.0
11.767,0.881,1.515,0.127,0.263,0.13,2.036,0.095,0.0
13.867,0.878,1.326,0.153,0.274,0.13,1.883,0.087,0.0
13.733,0.892,0.72,0.109,0.24,0.121,1.19,0.085,0.0
12.1,0.891,1.102,0.082,0.253,0.134,1.571,0.083,0.0
12.933,0.899,0.798,0.105,0.237,0.119,1.259,0.086,0.0
12.967,0.884,0.937,0.1,0.25,0.13,1.417,0.085,0.0
13.167,0.901,0.816,0.136,0.212,0.11,1.275,0.084,0.0
12.1,0.912,0.823,0.115,0.214,0.122,1.274,0.084,0.0
11.033,0.884,0.948,0.112,0.257,0.159,1.476,0.083,0.0
13.733,0.902,1.206,0.114,0.22,0.116,1.656,0.087,0.0
12.5,0.888,1.522,0.11,0.255,0.122,2.009,0.082,0.0
12.6,0.875,1.01,0.134,0.283,0.14,1.568,0.086,0.0
13.2,0.891,1.656,0.098,0.258,0.122,2.134,0.085,0.0
13.133,0.906,1.196,0.159,0.219,0.103,1.677,0.086,0.0
12.667,0.907,0.925,0.082,0.232,0.135,1.374,0.084,0.0
12.667,0.909,1.307,0.106,0.217,0.109,1.739,0.084,0.0
12.633,0.878,1.43,0.132,0.255,0.146,1.963,0.085,0.0
14.933,0.893,1.198,0.118,0.258,0.114,1.689,0.085,0.0
12.933,0.891,1.306,0.121,0.264,0.139,1.829,0.086,0.0
14.2,0.886,1.057,0.12,0.25,0.119,1.546,0.083,0.0
12.7,0.903,1.408,0.095,0.241,0.112,1.856,0.085,0.0
15.3,0.926,1.484,0.131,0.188,0.108,1.911,0.087,0.0
12.633,0.882,0.965,0.121,0.246,0.117,1.45,0.087,0.0
11.733,0.896,1.093,0.152,0.225,0.104,1.574,0.085,0.0
16.0,0.915,1.009,0.111,0.217,0.108,1.446,0.089,0.0
13.633,0.902,0.982,0.107,0.214,0.127,1.429,0.084,0.0
12.633,0.881,1.141,0.108,0.247,0.111,1.608,0.084,0.0
12.633,0.89,0.568,0.074,0.246,0.142,1.03,0.083,0.0
13.733,0.923,1.522,0.096,0.195,0.099,1.912,0.083,0.0
13.2,0.902,1.044,0.151,0.222,0.149,1.565,0.087,0.0
15.033,0.909,1.178,0.121,0.231,0.11,1.641,0.088,0.0
12.3,0.875,0.948,0.156,0.261,0.151,1.517,0.085,0.0
11.633,0.869,0.947,0.164,0.28,0.155,1.545,0.084,0.0
13.133,0.894,1.227,0.101,0.247,0.129,1.703,0.085,0.0
13.433,0.902,1.187,0.125,0.222,0.118,1.652,0.086,0.0
13.9,0.901,0.823,0.138,0.222,0.125,1.308,0.086,0.0
12.867,0.869,0.483,0.078,0.272,0.126,0.959,0.082,0.0
14.6,0.911,0.732,0.073,0.216,0.105,1.125,0.086,0.0
12.567,0.891,1.041,0.149,0.255,0.139,1.584,0.082,0.0
14.533,0.897,0.761,0.105,0.216,0.088,1.17,0.085,0.0
12.833,0.898,1.219,0.155,0.233,0.092,1.699,0.086,0.0
12.333,0.869,1.209,0.17,0.292,0.165,1.835,0.088,0.0
13.133,0.897,0.405,0.152,0.23,0.108,0.895,0.087,0.0
13.233,0.9,1.539,0.129,0.227,0.111,2.006,0.084,0.0
12.233,0.89,0.952,0.092,0.246,0.141,1.431,0.084,0.0
12.6,0.895,0.823,0.071,0.24,0.135,1.27,0.083,0.0
13.6,0.895,0.99,0.128,0.254,0.114,1.487,0.087,0.0
12.133,0.889,0.832,0.145,0.25,0.104,1.331,0.086,0.0
15.2,0.884,1.437,0.115,0.255,0.12,1.927,0.085,0.0
12.133,0.909,1.354,0.088,0.207,0.125,1.775,0.083,0.0
14.133,0.877,0.814,0.095,0.272,0.1,1.281,0.085,0.0
12.633,0.907,1.181,0.109,0.229,0.101,1.62,0.084,0.0
12.333,0.897,1.148,0.125,0.228,0.119,1.62,0.086,0.0
12.967,0.866,1.214,0.153,0.275,0.112,1.754,0.085,0.0
13.367,0.877,0.552,0.14,0.258,0.153,1.103,0.086,0.0
13.5,0.895,0.719,0.092,0.219,0.12,1.15,0.084,0.0
11.433,0.893,1.158,0.089,0.231,0.125,1.604,0.084,0.0
13.533,0.893,0.591,0.117,0.239,0.128,1.075,0.085,0.0
14.767,0.876,0.948,0.119,0.262,0.135,1.464,0.086,0.0
13.067,0.894,2.056,0.14,0.235,0.12,2.551,0.085,0.0
